tile_id,project_year,easting_m,northing_m,height_m
S13_4921_30,2016,3483190.0,1156518.0,17.316
S13_4921_30,2016,3483745.0,1155523.0,47.863
S13_4921_30,2016,3483220.0,1155993.0,18.468
S13_4921_30,2016,3484390.0,1156118.0,23.21
S13_4921_30,2016,3483105.0,1155898.0,2.289
S13_4921_30,2016,3483190.0,1155908.0,11.671
S13_4921_30,2016,3483550.0,1155418.0,2.225
S13_4921_30,2016,3483765.0,1156503.0,11.95
S13_4921_30,2016,3483990.0,1156053.0,13.231
S13_4921_30,2016,3483205.0,1155438.0,6.545
S13_4921_30,2016,3484005.0,1156348.0,28.575
S13_4921_30,2016,3483820.0,1155463.0,42.516
S13_4921_30,2016,3483305.0,1156518.0,48.647
S13_4921_30,2016,3483830.0,1156258.0,35.535
S13_4921_30,2016,3483725.0,1155483.0,46.528
S13_4921_30,2016,3483885.0,1155328.0,3.942
S13_4921_30,2016,3483700.0,1155553.0,30.598
S13_4921_30,2016,3483120.0,1156698.0,5.975
S13_4921_30,2016,3483640.0,1156263.0,2.59
S13_4921_30,2016,3483220.0,1156358.0,7.426
S13_4921_30,2016,3483300.0,1156608.0,60.0
S13_4921_30,2016,3483300.0,1156458.0,29.267
S13_4921_30,2016,3483700.0,1155628.0,11.857
S13_4921_30,2016,3483025.0,1155383.0,17.095
S13_4921_30,2016,3483235.0,1156258.0,27.719
S13_4921_30,2016,3483685.0,1156588.0,2.635
S13_4921_30,2016,3483080.0,1155438.0,22.161
S13_4921_30,2016,3483880.0,1156613.0,3.357
S13_4921_30,2016,3483460.0,1156688.0,18.984
S13_4921_30,2016,3483130.0,1156258.0,3.61
S13_4921_30,2016,3483190.0,1156078.0,15.046
S13_4921_30,2016,3483090.0,1155338.0,10.019
S13_4921_30,2016,3483895.0,1156508.0,19.834
S13_4921_30,2016,3483040.0,1155613.0,4.777
S13_4921_30,2016,3484205.0,1156093.0,9.419
S13_4921_30,2016,3483285.0,1155928.0,23.965
S13_4921_30,2016,3483435.0,1156178.0,12.535
S13_4921_30,2016,3483735.0,1155738.0,3.958
S13_4921_30,2016,3483325.0,1155303.0,6.059
S13_4921_30,2016,3483470.0,1156353.0,12.763
S13_4921_30,2016,3483385.0,1156003.0,7.453
S13_4921_30,2016,3484465.0,1156113.0,9.861
S13_4921_30,2016,3484410.0,1156168.0,6.739
S13_4921_30,2016,3483650.0,1155318.0,2.949
S13_4921_30,2016,3483060.0,1155403.0,20.371
S13_4921_30,2016,3483100.0,1156558.0,4.399
S13_4921_30,2016,3484110.0,1156268.0,7.883
S13_4921_30,2016,3483815.0,1156288.0,34.638
S13_4921_30,2016,3483990.0,1156598.0,3.512
S13_4921_30,2016,3483220.0,1156003.0,19.044
S13_4921_30,2016,3483215.0,1156458.0,12.649
S13_4921_30,2016,3484175.0,1155998.0,10.216
S13_4921_30,2016,3484135.0,1156468.0,2.404
