tile_id,project_year,easting_m,northing_m,height_m
S13_4889_10,2016,3499876.0,1186498.0,44.333
S13_4889_10,2016,3500536.0,1186073.0,26.163
S13_4889_10,2016,3500531.0,1185973.0,40.556
S13_4889_10,2016,3499576.0,1186833.0,39.237
S13_4889_10,2016,3499741.0,1185903.0,25.817
S13_4889_10,2016,3500351.0,1186798.0,13.409
S13_4889_10,2016,3499721.0,1186818.0,23.901
S13_4889_10,2016,3499931.0,1186238.0,2.826
S13_4889_10,2016,3500241.0,1185908.0,6.505
S13_4889_10,2016,3499916.0,1185948.0,3.045
S13_4889_10,2016,3499601.0,1185978.0,6.957
S13_4889_10,2016,3499561.0,1187018.0,14.961
S13_4889_10,2016,3499791.0,1187018.0,3.594
S13_4889_10,2016,3499711.0,1186633.0,8.589
S13_4889_10,2016,3499501.0,1186453.0,50.318
S13_4889_10,2016,3499531.0,1187113.0,2.199
S13_4889_10,2016,3499836.0,1186458.0,23.192
S13_4889_10,2016,3500581.0,1187028.0,59.984
S13_4889_10,2016,3500551.0,1186083.0,21.787
S13_4889_10,2016,3499351.0,1186118.0,5.629
S13_4889_10,2016,3500561.0,1186723.0,2.078
S13_4889_10,2016,3499881.0,1186573.0,22.32
S13_4889_10,2016,3500046.0,1186568.0,2.156
S13_4889_10,2016,3500276.0,1186523.0,2.976
S13_4889_10,2016,3500486.0,1186048.0,34.792
S13_4889_10,2016,3499796.0,1185898.0,18.805
S13_4889_10,2016,3500071.0,1186518.0,2.867
S13_4889_10,2016,3500386.0,1186048.0,31.639
S13_4889_10,2016,3499501.0,1185998.0,29.257
S13_4889_10,2016,3500366.0,1186688.0,8.152
S13_4889_10,2016,3499871.0,1186333.0,10.943
S13_4889_10,2016,3500336.0,1186388.0,27.032
S13_4889_10,2016,3500291.0,1186068.0,19.088
S13_4889_10,2016,3500311.0,1186373.0,27.61
S13_4889_10,2016,3499396.0,1186668.0,9.756
S13_4889_10,2016,3499231.0,1186488.0,3.692
S13_4889_10,2016,3500391.0,1186878.0,20.957
S13_4889_10,2016,3500401.0,1186203.0,33.357
S13_4889_10,2016,3500421.0,1185943.0,50.547
S13_4889_10,2016,3499521.0,1186278.0,14.608
S13_4889_10,2016,3500186.0,1186823.0,4.229
S13_4889_10,2016,3500361.0,1186588.0,2.369
S13_4889_10,2016,3499431.0,1186498.0,36.813
S13_4889_10,2016,3500066.0,1186168.0,2.209
S13_4889_10,2016,3500316.0,1185938.0,24.089
S13_4889_10,2016,3500556.0,1185738.0,5.652
S13_4889_10,2016,3500451.0,1186688.0,2.56
S13_4889_10,2016,3499741.0,1186008.0,28.387
S13_4889_10,2016,3499991.0,1186343.0,7.13
S13_4889_10,2016,3499146.0,1185868.0,4.307
S13_4889_10,2016,3500121.0,1186473.0,5.931
S13_4889_10,2016,3500351.0,1185778.0,12.342
S13_4889_10,2016,3499476.0,1186803.0,28.854
S13_4889_10,2016,3500261.0,1186188.0,23.934
S13_4889_10,2016,3500356.0,1185898.0,35.938
S13_4889_10,2016,3500346.0,1186048.0,25.982
S13_4889_10,2016,3499356.0,1186513.0,17.858
S13_4889_10,2016,3499671.0,1186988.0,19.833
S13_4889_10,2016,3499586.0,1186068.0,9.916
S13_4889_10,2016,3499376.0,1186088.0,9.379
S13_4889_10,2016,3499701.0,1186363.0,29.053
S13_4889_10,2016,3499116.0,1186453.0,4.847
S13_4889_10,2016,3499501.0,1186253.0,9.964
S13_4889_10,2016,3499741.0,1186373.0,31.988
S13_4889_10,2016,3499266.0,1186293.0,17.139
S13_4889_10,2016,3499681.0,1186053.0,11.397
S13_4889_10,2016,3500091.0,1186448.0,6.084
S13_4889_10,2016,3499756.0,1186968.0,20.055
S13_4889_10,2016,3500411.0,1185878.0,45.653
S13_4889_10,2016,3500326.0,1187078.0,4.784
S13_4889_10,2016,3499621.0,1186803.0,26.789
S13_4889_10,2016,3500601.0,1186068.0,16.764
S13_4889_10,2016,3499471.0,1187088.0,2.975
S13_4889_10,2016,3499496.0,1186983.0,23.603
S13_4889_10,2016,3500251.0,1185823.0,4.702
S13_4889_10,2016,3499301.0,1186043.0,9.061
S13_4889_10,2016,3499671.0,1187013.0,11.353
S13_4889_10,2016,3500106.0,1186488.0,3.944
S13_4889_10,2016,3499791.0,1186348.0,28.549
S13_4889_10,2016,3500196.0,1186158.0,13.159
S13_4889_10,2016,3499656.0,1186348.0,23.25
S13_4889_10,2016,3499781.0,1186783.0,5.564
S13_4889_10,2016,3499661.0,1186348.0,23.061
S13_4889_10,2016,3499536.0,1186593.0,34.171
S13_4889_10,2016,3499581.0,1186938.0,36.876
S13_4889_10,2016,3499576.0,1186133.0,5.988
S13_4889_10,2016,3500566.0,1186998.0,60.0
S13_4889_10,2016,3500271.0,1185883.0,11.256
S13_4889_10,2016,3500296.0,1186968.0,27.757
S13_4889_10,2016,3500246.0,1186153.0,19.324
S13_4889_10,2016,3499226.0,1186363.0,14.154
S13_4889_10,2016,3499426.0,1186363.0,24.481
S13_4889_10,2016,3499306.0,1186808.0,2.504
S13_4889_10,2016,3499866.0,1185833.0,2.279
S13_4889_10,2016,3500286.0,1186793.0,15.796
S13_4889_10,2016,3500261.0,1185858.0,8.416
S13_4889_10,2016,3499896.0,1186013.0,3.239
S13_4889_10,2016,3500556.0,1187073.0,42.751
S13_4889_10,2016,3499711.0,1186468.0,23.039
S13_4889_10,2016,3499551.0,1186108.0,14.194
S13_4889_10,2016,3500381.0,1186248.0,49.094
S13_4889_10,2016,3499296.0,1186003.0,10.043
S13_4889_10,2016,3499391.0,1186158.0,5.211
S13_4889_10,2016,3499696.0,1185823.0,4.971
S13_4889_10,2016,3500371.0,1187063.0,9.886
S13_4889_10,2016,3499696.0,1186328.0,32.077
S13_4889_10,2016,3500571.0,1185743.0,5.488
S13_4889_10,2016,3499891.0,1186303.0,7.859
S13_4889_10,2016,3499571.0,1186403.0,42.653
S13_4889_10,2016,3499701.0,1186993.0,17.389
S13_4889_10,2016,3500521.0,1186163.0,13.602
S13_4889_10,2016,3500591.0,1187163.0,10.546
S13_4889_10,2016,3500246.0,1186198.0,22.269
S13_4889_10,2016,3499646.0,1185983.0,14.018
S13_4889_10,2016,3499681.0,1186238.0,6.621
S13_4889_10,2016,3499681.0,1186688.0,7.915
S13_4889_10,2016,3499851.0,1186918.0,4.008
S13_4889_10,2016,3500566.0,1186308.0,4.824
S13_4889_10,2016,3499536.0,1186038.0,28.962
S13_4889_10,2016,3500231.0,1186433.0,18.206
S13_4889_10,2016,3499771.0,1185878.0,16.846
S13_4889_10,2016,3499421.0,1186133.0,11.062
S13_4889_10,2016,3499566.0,1186023.0,15.51
S13_4889_10,2016,3499501.0,1186623.0,25.945
S13_4889_10,2016,3500381.0,1186853.0,17.616
S13_4889_10,2016,3500316.0,1186848.0,25.796
S13_4889_10,2016,3499651.0,1186568.0,25.679
S13_4889_10,2016,3500251.0,1185783.0,3.14
S13_4889_10,2016,3499781.0,1187013.0,5.545
S13_4889_10,2016,3499666.0,1186513.0,29.465
S13_4889_10,2016,3499301.0,1186013.0,9.202
S13_4889_10,2016,3499441.0,1186643.0,16.8
S13_4889_10,2016,3499691.0,1186993.0,18.132
S13_4889_10,2016,3500296.0,1186178.0,27.63
S13_4889_10,2016,3500016.0,1186368.0,6.562
S13_4889_10,2016,3500401.0,1186763.0,9.397
S13_4889_10,2016,3500206.0,1186928.0,3.961
S13_4889_10,2016,3499541.0,1186828.0,40.725
S13_4889_10,2016,3500281.0,1186688.0,12.039
S13_4889_10,2016,3499486.0,1186023.0,41.833
S13_4889_10,2016,3499221.0,1186398.0,9.971
S13_4889_10,2016,3500551.0,1185868.0,27.751
S13_4889_10,2016,3500271.0,1186398.0,20.681
S13_4889_10,2016,3499161.0,1186373.0,17.106
