date,overpass,latitude,longitude,soil_moisture_m3m3,quality_flag
2024-12-03,AM,38.2757,-78.75,0.2256,1
2024-12-03,AM,38.2757,-78.6566,0.257,1
2024-12-03,AM,38.2757,-78.5633,0.2401,1
2024-12-03,AM,38.2757,-78.4699,0.2439,1
2024-12-03,AM,38.2757,-78.3766,0.2393,1
2024-12-03,AM,38.2757,-78.2832,0.2377,1
2024-12-03,AM,38.1862,-78.75,0.2373,1
2024-12-03,AM,38.1862,-78.6566,0.261,1
2024-12-03,AM,38.1862,-78.5633,0.2405,1
2024-12-03,AM,38.1862,-78.4699,0.236,1
2024-12-03,AM,38.1862,-78.3766,0.2333,1
2024-12-03,AM,38.1862,-78.2832,0.2336,1
2024-12-03,AM,38.0969,-78.75,0.2495,1
2024-12-03,AM,38.0969,-78.6566,0.2724,1
2024-12-03,AM,38.0969,-78.5633,0.2543,1
2024-12-03,AM,38.0969,-78.4699,0.2602,1
2024-12-03,AM,38.0969,-78.3766,0.2562,1
2024-12-03,AM,38.0969,-78.2832,0.2464,1
2024-12-03,AM,38.0077,-78.75,0.2682,1
2024-12-03,AM,38.0077,-78.6566,0.2834,1
2024-12-03,AM,38.0077,-78.5633,0.2788,1
2024-12-03,AM,38.0077,-78.4699,0.2879,1
2024-12-03,AM,38.0077,-78.3766,0.2851,1
2024-12-03,AM,38.0077,-78.2832,0.2593,1
2024-12-03,AM,37.9186,-78.75,0.3182,1
2024-12-03,AM,37.9186,-78.6566,0.297,1
2024-12-03,AM,37.9186,-78.5633,0.2947,1
2024-12-03,AM,37.9186,-78.4699,0.2843,1
2024-12-03,AM,37.9186,-78.3766,0.2911,1
2024-12-03,AM,37.9186,-78.2832,0.2837,1
2024-12-03,AM,37.8296,-78.75,0.3408,1
2024-12-03,AM,37.8296,-78.6566,0.3291,1
2024-12-03,AM,37.8296,-78.5633,0.3048,1
2024-12-03,AM,37.8296,-78.4699,0.2907,1
2024-12-03,AM,37.8296,-78.3766,0.298,1
2024-12-03,AM,37.8296,-78.2832,0.328,1
2024-12-03,AM,37.7407,-78.75,0.3511,1
2024-12-03,AM,37.7407,-78.6566,0.3186,1
2024-12-03,AM,37.7407,-78.5633,0.2903,1
2024-12-03,AM,37.7407,-78.4699,0.2664,1
2024-12-03,AM,37.7407,-78.3766,0.2857,1
2024-12-03,AM,37.7407,-78.2832,0.3179,1
2024-12-03,PM,38.2757,-78.75,0.229,1
2024-12-03,PM,38.2757,-78.6566,0.2364,1
2024-12-03,PM,38.2757,-78.5633,0.2272,1
2024-12-03,PM,38.2757,-78.4699,0.2319,1
2024-12-03,PM,38.2757,-78.3766,0.2224,1
2024-12-03,PM,38.2757,-78.2832,0.2228,1
2024-12-03,PM,38.1862,-78.75,0.2505,1
2024-12-03,PM,38.1862,-78.6566,0.2392,1
2024-12-03,PM,38.1862,-78.5633,0.2194,1
2024-12-03,PM,38.1862,-78.4699,0.2334,1
