tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386052.5,3899180.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387768.5,3899178.5,59.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387761.5,3899175.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386057.5,3899173.5,58.97
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387767.5,3899173.5,59.55
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386062.5,3899169.5,59.99
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387764.5,3899169.5,59.65
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386064.5,3899163.5,59.82
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387756.5,3899161.5,59.5
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386057.5,3899160.5,59.82
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386061.5,3899159.5,59.85
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386069.5,3899158.5,59.62
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387750.5,3899156.5,59.88
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386076.5,3899154.5,59.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387858.5,3899154.5,59.99
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386065.5,3899153.5,59.52
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387191.5,3899153.5,59.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386085.5,3899150.5,59.72
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387750.5,3899150.5,59.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387755.5,3899150.5,58.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387191.5,3899149.5,58.77
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386065.5,3899148.5,59.69
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387115.5,3899147.5,59.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387185.5,3899147.5,58.92
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387181.5,3899146.5,57.76
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387214.5,3899146.5,59.82
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387175.5,3899145.5,58.98
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387199.5,3899145.5,59.62
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386067.5,3899144.5,59.71
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387724.5,3899144.5,59.29
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387745.5,3899144.5,59.35
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387104.5,3899143.5,59.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387113.5,3899143.5,59.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387120.5,3899143.5,58.62
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387691.5,3899143.5,59.72
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387732.5,3899143.5,59.89
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387750.5,3899143.5,59.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386079.5,3899142.5,56.38
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386086.5,3899142.5,58.58
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387137.5,3899142.5,59.24
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387859.5,3899142.5,57.02
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387170.5,3899141.5,59.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387203.5,3899141.5,59.74
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386069.5,3899140.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386094.5,3899140.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387165.5,3899140.5,59.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387184.5,3899140.5,56.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387354.5,3899140.5,59.88
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387107.5,3899139.5,59.39
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387174.5,3899139.5,58.38
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387188.5,3899139.5,56.51
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387214.5,3899139.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387250.5,3899139.5,59.51
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387259.5,3899139.5,58.85
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387726.5,3899139.5,58.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387738.5,3899139.5,58.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387751.5,3899139.5,59.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387130.5,3899138.5,57.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387154.5,3899138.5,59.19
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387179.5,3899138.5,56.03
