year,jurisdiction,agency_name,agency_code,population_estimate,incident_total,offense_total,group_a_crimes_per_100k,total_arrests,adult_arrests,juvenile_arrests,arrests_per_100k,total_group_a_offenses,total_group_b_adult_arrests,total_group_b_juvenile_arrests,aggravated_assault_reported,simple_assault_reported,burglary_breaking_entering_reported,destruction_damage_vandalism_reported,motor_vehicle_theft_reported,shoplifting_reported,theft_from_motor_vehicle_reported,all_other_larceny_reported,drug_narcotic_violations_reported,drug_equipment_violations_reported,weapon_law_violations_reported,dui_group_b_adult,drunkenness_group_b_adult,disorderly_conduct_group_b_adult,trespass_real_property_group_b_adult
2019,Albemarle,Albemarle County Police Department,VA0020300,109722.0,3324.0,4042.0,3029.5,1838.0,1766.0,72.0,1675.1,4042.0,847.0,24.0,72.0,835.0,114.0,467.0,51.0,251.0,305.0,403.0,408.0,219.0,67.0,153.0,88.0,12.0,45.0
2019,Augusta,Augusta County Sheriff's Office,VA0080000,75831.0,2285.0,2560.0,3013.3,919.0,892.0,27.0,1211.9,2560.0,291.0,17.0,71.0,370.0,186.0,275.0,82.0,62.0,110.0,180.0,344.0,49.0,56.0,48.0,78.0,13.0,17.0
2019,Buckingham,Buckingham County Sheriff's Office,VA0150000,17075.0,252.0,300.0,1475.8,179.0,179.0,0.0,1048.3,300.0,125.0,0.0,7.0,41.0,31.0,47.0,12.0,3.0,8.0,50.0,25.0,6.0,8.0,28.0,8.0,4.0,8.0
2019,Charlottesville,Charlottesville Police Department,VA1020000,49181.0,2485.0,2910.0,5052.8,1471.0,1445.0,23.0,2991.0,2910.0,1046.0,13.0,103.0,541.0,123.0,451.0,80.0,155.0,247.0,376.0,140.0,41.0,36.0,50.0,204.0,7.0,44.0
2019,Fluvanna,Fluvanna County Sheriff's Office,VA0320000,27038.0,574.0,657.0,2122.9,312.0,312.0,0.0,1153.9,657.0,218.0,0.0,18.0,167.0,23.0,86.0,9.0,6.0,22.0,96.0,81.0,8.0,17.0,50.0,0.0,6.0,1.0
2019,Greene,Greene County Sheriff's Office,VA0390000,20097.0,626.0,789.0,3114.9,563.0,535.0,28.0,2801.4,789.0,261.0,5.0,8.0,209.0,21.0,82.0,10.0,91.0,12.0,48.0,100.0,65.0,9.0,25.0,21.0,8.0,9.0
2019,Louisa,Louisa Co. Sheriff Office11,VA0540000,34918.0,861.0,964.0,2465.8,245.0,242.0,3.0,701.6,964.0,73.0,1.0,23.0,135.0,30.0,172.0,32.0,38.0,61.0,130.0,111.0,5.0,31.0,15.0,25.0,2.0,4.0
2019,Nelson,Nelson County Sheriff's Office,VA0620000,14794.0,570.0,661.0,3852.9,167.0,134.0,33.0,1128.8,661.0,126.0,33.0,18.0,154.0,27.0,92.0,17.0,14.0,13.0,65.0,98.0,5.0,15.0,8.0,5.0,0.0,95.0
2019,Orange,Orange County Sheriffs Office,VA0680000,29267.0,455.0,480.0,1554.7,249.0,246.0,3.0,850.8,480.0,132.0,2.0,10.0,90.0,17.0,85.0,11.0,19.0,9.0,47.0,86.0,15.0,8.0,46.0,14.0,1.0,2.0
2019,Rockingham,Rockingham CO Sheriff's Dept,VA0820000,62138.0,1149.0,1458.0,1849.1,1260.0,1176.0,84.0,2027.7,1458.0,804.0,42.0,15.0,149.0,88.0,170.0,19.0,30.0,48.0,100.0,279.0,154.0,40.0,71.0,89.0,5.0,31.0
2020,Albemarle,Albemarle County Police Department,VA0020300,110545.0,3191.0,3914.0,2886.6,1413.0,1361.0,52.0,1278.2,3914.0,740.0,18.0,75.0,783.0,116.0,573.0,81.0,219.0,295.0,424.0,247.0,122.0,80.0,95.0,108.0,16.0,25.0
2020,Augusta,Augusta County Sheriff's Office,VA0080000,76395.0,2142.0,2402.0,2803.8,746.0,736.0,10.0,976.5,2402.0,260.0,5.0,86.0,364.0,166.0,237.0,60.0,47.0,105.0,234.0,303.0,64.0,57.0,40.0,80.0,14.0,10.0
2020,Buckingham,Buckingham County Sheriff's Office,VA0150000,17162.0,333.0,396.0,1940.3,155.0,154.0,1.0,903.2,396.0,88.0,1.0,15.0,32.0,31.0,92.0,21.0,4.0,17.0,52.0,27.0,2.0,16.0,16.0,3.0,2.0,10.0
2020,Charlottesville,Charlottesville Police Department,VA1020000,49447.0,2199.0,2583.0,4447.2,1187.0,1153.0,34.0,2400.6,2583.0,792.0,28.0,132.0,448.0,84.0,454.0,72.0,128.0,251.0,242.0,117.0,45.0,55.0,47.0,135.0,20.0,18.0
2020,Fluvanna,Fluvanna County Sheriff's Office,VA0320000,27202.0,481.0,562.0,1768.3,279.0,279.0,0.0,1025.7,562.0,179.0,0.0,15.0,141.0,22.0,87.0,13.0,2.0,3.0,61.0,76.0,8.0,17.0,61.0,0.0,2.0,4.0
2020,Greene,Greene County Sheriff's Office,VA0390000,20323.0,609.0,772.0,2996.6,400.0,382.0,18.0,1968.2,772.0,152.0,9.0,15.0,182.0,11.0,88.0,9.0,76.0,16.0,58.0,99.0,66.0,17.0,15.0,16.0,4.0,10.0
